,UT,abstract,authors,citations,cities,countries,doi,location,population,title,year
186,WOS:000286590900008,"Some of the transportation energy consumed during peak commuter periods is wasted through slow running in congested traffic. Strategies to increase average vehicle occupancy (and reduce vehicle counts and congestion) could be expected to be at the forefront of energy conservation policies. Casual carpooling (also called ""slugging"") is a system of carpooling without trip-by-trip pre-arrangement. It operates in three US cities, and has been suggested in New Zealand as a strategy for managing transportation challenges when oil prices rise. The objective of the paper is to find out if casual carpooling reduces energy consumption, and if so, how much. Energy consumption by single occupant vehicles; casual carpool vehicles; and a mix of buses and single occupant vehicles; are estimated and compared, and the impact on the rest of the traffic is calculated. The paper estimates that casual carpooling in San Francisco is conserving in the order of 1.7 to 3.5 million liters of gasoline per year, or 200-400 liters for each participant, much of which comes from the impact on the rest of the traffic. The paper concludes by calling for applied research to discover how to catalyze casual carpooling in other cities as a means of reducing transportation energy consumption.","Minett, P, Pearce, J",12,San Francisco,USA,10.3390/en4010126,SRID=4326;POINT (-122.41942 37.77493),864816,Estimating the Energy Consumption Impact of Casual Carpooling,2011
187,WOS:000299164100009,"Governance has been identified by many scholars as a challenge to managing natural resources in a sustainable way. In addition, climate change is impacting natural resources, and complicating management. In light of these concerns, it is important that key characteristics of sustainable management are not ignored. Scientific legitimacy, an integrative ecosystem approach, long-term monitoring and pro-active governance are all important characteristics of successful sustainable management plans. However, these characteristics have not all been included in the day-to-day functioning of the International Joint Commission. This paper looks specifically at the key characteristics required for sustainable management of transboundary water resources and determines if the International Joint Commission, and particularly the International Rainy Lake Board of Control, are applying them to policies for regulation and management of border waters shared by Ontario (Canada) and Minnesota (USA).","Bleser, CS, Nelson, KC",2,Ontario,USA,10.2166/wp.2011.073,SRID=4326;POINT (-117.65089 34.06334),171214,Climate change and water governance: an International Joint Commission case study,2011
188,WOS:000292231600004,"In this study, the annual energy consumptions of four different heating, ventilation and air conditioning (HVAC) systems serving to operation rooms (ORs) located at five different cities (Izmir, Antalya, Istanbul, Ankara and, Erzurum) in Turkey are analyzed. The study is performed for four different HVAC systems: (a) 100% fresh air system (System I), (b) 100% fresh air with half air volume rate at night period (System II), (c) 100% fresh air with half air volume rate at night period and heat recovery unit (System III), (d) 50% fresh air with half air volume rate at night period and with heat recovery and mixing units (System IV). Life cycle cost (LCC) for 20 years life span is calculated for the considered systems. It is found that System IV considerably reduces energy consumption and it is economically proper for the considered cities. The rate of energy consumption and LCC reductions are greater for the cities with extreme climate condition having relatively low specific humidity ratio. Using System IV instead of System I reduces OR energy consumption by 74% for the city of Erzurum which has a cold and dry climate. (C) 2011 Elsevier B.V. All rights reserved.",,7,Erzurum; Antalya; Ankara,TUR; TUR; TUR,10.1016/j.enbuild.2011.02.013,SRID=4326;POINT (41.27694 39.90861); SRID=4326;POINT (30.69556 36.90812); SRID=4326;POINT (32.85427 39.91987),420691; 758188; 3517182,Economical assessment of different HVAC systems for an operating room: Case study for different Turkish climate regions,2011
189,WOS:000257520900011,"Seventy-six rain samples from forty-seven rain events and TSP aerosol samples throughout the entire year of 2005 were collected in Shanghai, China. The annual mean pH in rain was 4.49 with the lowest pH of 2.95, and the frequency of acid rain was 71% in 2005. The acidity of rain increased more than 15 times in the past 8 years compared to 1997. The volume-weighted mean ionic concentrations of the So(4)(2-) and NO(3)(-) in rainwater were 199.59 and 49.80 mu eq/L with maximum of 832.67 and 236.59 mu eq/L, respectively. The concentration of SO(4)(2-) was higher than the most polluted cities abroad, indicating Shanghai has been a severe polluted city over the world. The high coal/fuel consumption from urbanization and the rapid increase of vehicles resulted in the high emission of SO(2) and NO(x), the precursor of the high concentration of acidic ions, SO(4)(2-) and NO(3)(-) which were the main reason of the severe acid rain in Shanghai. The major ions showed clear temporal variations with higher concentrations of SO(4)(2-), NO(3)(-), NH(4)(+) and Ca(2+) in spring/winter, of Na(+), Cl(-), K(+), and Mg(2+) in autumn, and the lowest of all the ions in summer. SO(4)(2-) and NO(3)(-) were mainly in the form of CaSO(4) and Ca(NO(3))(2), whichshowed the dominant neutralization effect of Ca(2+) over NH(4)(+). Source identification indicated that SO(4)(2-), NO(3)(-), NH(4)(+) and most Ca(2+) derived from anthropogenic sources, K(+), Mg(2+) and partial Ca(2+) originated from mineral, and almost all the Cl(-) and Na(+) from the sea. The chemistry of precipitation in Shanghai was under the influence of local pollution sources and the long- and moderate-range transport through back trajectory analysis. (C) 2008 Elsevier B.V All rights reserved.",,98,Shanghai,CHN,10.1016/j.atmosres.2008.01.006,SRID=4326;POINT (121.45806 31.22222),22315474,"The chemistry of the severe acidic precipitation in Shanghai, China",2008
190,WOS:000342632300002,"Cities around the world are increasingly involved in climate action and mitigating greenhouse gas (GHG) emissions. However, in the context of responding to climate pressures in the water sector, very few studies have investigated the impacts of changing water use on GHG emissions, even though water resource adaptation often requires greater energy use. Consequently, reducing GHG emissions, and thus focusing on both mitigation and adaptation responses to climate change in planning and managing urban water supply systems, is necessary. Furthermore, the minimization of GHG emissions is likely to conflict with other objectives. Thus, applying a multiobjective evolutionary algorithm (MOEA), which can evolve an approximation of entire trade-off (Pareto) fronts of multiple objectives in a single run, would be beneficial. Consequently, the main aim of this paper is to incorporate GHG emissions into a MOEA framework to take into consideration both adaptation and mitigation responses to climate change for a city's water supply system. The approach is applied to a case study based on Adelaide's southern water supply system to demonstrate the framework's practical management implications. Results indicate that trade-offs exist between GHG emissions and risk-based performance, as well as GHG emissions and economic cost. Solutions containing rainwater tanks are expensive, while GHG emissions greatly increase with increased desalinated water supply. Consequently, while desalination plants may be good adaptation options to climate change due to their climate-independence, rainwater may be a better mitigation response, albeit more expensive. Key Points <list id=""wrcr21041-list-0001"" list-type=""bulleted""> <list-item id=""wrcr21041-li-0001"">Developing an urban water supply planning framework to mitigate GHG emissions <list-item id=""wrcr21041-li-0002"">Analyzing the impact of minimizing GHG emissions on cost and supply security <list-item id=""wrcr21041-li-0003"">Using a real-life case study to illustrate the planning value of the approach","Paton, FL, Maier, HR, Dandy, GC",20,Adelaide,AUS,10.1002/2013WR015195,SRID=4326;POINT (138.59863 -34.92866),1225235,Including adaptation and mitigation responses to climate change in a multiobjective evolutionary algorithm framework for urban water supply systems incorporating GHG emissions,2014
191,WOS:000395134800001,"In this study, we propose a novel approach to describe the scattering effects of atmospheric aerosols in a complex urban environment using water vapor (H2O) slant column measurements in the near infrared. This approach is demonstrated using measurements from the California Laboratory for Atmospheric Remote Sensing Fourier Transform Spectrometer on the top of Mt. Wilson, California, and a two-stream-exact single scattering (2S-ESS) radiative transfer (RT) model. From the spectral measurements, we retrieve H2O slant column density (SCD) using 15 different absorption bands between 4000 and 8000 cm(-1). Due to the wavelength dependence of aerosol scattering, large variations in H2O SCD retrievals are observed as a function of wavelength. Moreover, the variations are found to be correlated with aerosol optical depths (AODs) measured at the AERONET-Caltech station. Simulation results from the RT model reproduce this correlation and show that the aerosol scattering effect is the primary contributor to the variations in the wavelength dependence of the H2O SCD retrievals. A significant linear correlation is also found between variations in H2O SCD retrievals from different bands and corresponding AOD data; this correlation is associated with the asymmetry parameter, which is a first-order measure of the aerosol scattering phase function. The evidence from both measurements and simulations suggests that wavelength-dependent aerosol scattering effects can be derived using H2O retrievals from multiple bands. This understanding of aerosol scattering effects on H2O retrievals suggests a promising way to quantify the effect of aerosol scattering on greenhouse gas retrievals and could potentially contribute towards reducing biases in greenhouse gas retrievals from space.",,1,Wilson,USA,10.5194/acp-17-2495-2017,SRID=4326;POINT (-77.91553999999999 35.72127),49643,Aerosol scattering effects on water vapor retrievals over the Los Angeles Basin,2017
192,WOS:000342507700010,"This paper deals with community-based approaches to a low-carbon society in the UK and aims to clarify the types of community-based approaches, the factors involved in goal attainment, the roles of actors and the positive and negative points of community-based approaches. We divide community-based approaches supported by government into two types. We focus on a multiple-targeted approach and examine the case of Muswell Hill in London. We observe that the approaches encourage change in people's behaviour and have an effect on promoting low carbon in homes and communities. These approaches use direct and intensive methods, and residents can be involved in several activities. Meanwhile, we point out that these activities are meaningless, if the low-carbon community activities are not continued and extended. In conclusion, we consider that this approach is significant in empowering communities instead of merely promoting low-carbon activities.","Murota, M",2,London,GBR,10.3130/jaabe.13.593,SRID=4326;POINT (-0.12574 51.50853),7556900,Role of Community-Based Approaches with Administrative Support in an Urban Low-Carbon Society in the UK,2014
193,WOS:000381530600099,"To reduce energy consumption and control indoor humidity in buildings, a desiccant-based outdoor air (OA) system, thermally activated by comparatively low-temperature energy such as cogenerated or solar hot water, has become an interesting alternative to solve problems in electrical energy over-consumption in conventional air-conditioning systems. The purpose of this study is to develop a compact desiccant-based OA system using comparatively low-temperature energy. The proposed system can be used in single or combined systems to improve the cooling and heating humidification performance by pre-processing OA. First, this paper describes a technical feasibility study of the proposed system by computational energy simulation using regression physical models. The case studies were conducted in which various ventilation systems were compared, such as a general ventilation system, a heat pump desiccant system (HPDS), and the proposed system combined with HPDS. Each system is operated with a conventional variable refrigerant flow (VRF) air-conditioning system in office buildings in each of the four cities (Sapporo, Tokyo, Kagoshima, and Matsumoto) in Japan. We evaluate three systems with a VRF system for potential energy savings under different weather conditions (hot, cold, hot and humid, cold and dry or different). As a result, the proposed system combined with HPDS in Sapporo and Matsumoto consumed less energy compared with the HPDS under cold and dry climate, as well as in pre-processing OA. (C) 2016 Elsevier Ltd. All rights reserved.",,1,Tokyo; Matsumoto; Sapporo,JPN; JPN; JPN,10.1016/j.applthermaleng.2016.06.087,SRID=4326;POINT (139.69171 35.6895); SRID=4326;POINT (137.96667 36.23333); SRID=4326;POINT (141.35 43.06667),8336599; 210667; 1883027,Technical feasibility study of a compact desiccant-based outdoor air system using cogenerated hot water,2016
194,WOS:000408788100020,"The indirect greenhouses gas emission (GHG) embodied in the key urban materials purchased outside the city boundary (Scope 3) are often ignored in traditional city GHG studies, mostly concentrating on the emissions occurring inside the city (Scope 1) and emissions by the purchased electricity out of boundary (Scope 2). And there is little research on the structural analysis of the upstream supply chain for Scope 3. However, a comprehensive urban GHG accounting system is the basis for cities to make appropriate mitigation measures. Identifying the main embodied GHG that dominate the emissions in upstream supply chains can help focus attention on the largest emitters and offer insights into where climate mitigation efforts should be directed. Thus, in this study the Economic Input Output Life Cycle Assessment (EIO-LCA) approach was used to evaluate the embodied GHG emissions from Scope 3 and to explore the related GHG emissions structure in the upstream supply chain based on the final demand for the key urban materials. And food, water, steel, cement, and fuel were selected as the representative urban materials based on the characteristic of Xiamen City. Our results demonstrate that the total embodied GHG emissions were 13,201.31 kt CO(2)e, very close to the direct GHG emissions from end-use sectors inside Xiamen city. Among the embodied GHG emissions, imported steel, fuels, cement, food, and water accounted for 56, 26, 13, 4, and 1% of the emissions, respectively. The main embodied GHG emissions contributors were found in the upstream supply chain and some related policy implications were presented. Compared to other cities, Xiamen had a relatively low per capita embodied GHG emission, which was 5.24 t CO(2)e lower than eight U.S. cities. (C) 2016 Elsevier Ltd. All rights reserved.",,0,Xiamen,CHN,10.1016/j.jclepro.2016.11.108,SRID=4326;POINT (118.08187 24.47979),3531347,"Structural analysis of embodied greenhouse gas emissions from key urban materials: A case study of Xiamen City, China",2017
195,WOS:000386410500013,"The building integrated grid connected PV (BIGCP) is one of the most promising types of urban distributed renewable energy sources. Many researchers found high BIGCP potential in many cities. But this paper emphasized that two important facts are usually ignored. These facts will probably limit the willingness to invest (WTI) in BIGCPs. This problem is referred as an Available Investment Area for BIGCP Installation (AIABI) problem. This paper worked out a way to estimate the restriction brought by the AIABI problem in a certain urban district by applying high definition remote sensing images and signal processing methods. A cased study is carried out in Beijing city, the result shows that there exists a least-acceptable-SPBP range in which a large proportion of the total AIABIs will not be invested in the case. This result explained the low adoption rate of BIGCP in residential buildings in urban discovered by literature. It can be concluded that the AIABI problem in urban districts can restrict the grid connected BIPV potential even under most favorable financial incentives. A strategy to lower the AIABI Elimination Rate is introduced. (C) 2016 Elsevier Ltd. All rights reserved.",,5,Beijing,CHN,10.1016/j.energy.2016.07.035,SRID=4326;POINT (116.39723 39.9075),11716620,The restriction research for urban area building integrated grid-connected PV power generation potential,2016
196,WOS:000369264500001,"China's transport sector is responsible for approximately 10% of national CO2 emissions. In the process of industrialization and urbanization of China, emissions from transport sector would continuously increase. In order to investigate the emissions and reduction potential and provide the policy guidance for policymakers in China's transport sector, this study decomposed the CO2 emissions using the Kaya identity, calculated the contribution based on the Logarithmic Mean Divisia Index (LMDI) method to explore the underlying determinants of emissions change, and then constructed different scenarios to predict the emissions and estimate the potential of emission reduction in the future. Results indicated that carbon emissions in China's transport sector have increased from 123.14 Mt in 1995 to 670.76 Mt in 2012. Income effect is the dominant factor that results in the increase of emissions while energy intensity effect is the main driving force to lower carbon emissions. The transportation modal shifting, transportation intensity change, and population growth have the positive but relatively minor impact on emissions. The accumulated emission reduction is expected to be 1825.97 Mt, which is 3 times more than the emissions in 2010. Policy recommendations are thus put forward for future emission reduction.","Li, W, Li, H, Zhang, HX, Sun, S",1,Kaya,BFA,10.1155/2016/1043717,SRID=4326;POINT (-1.08444 13.09167),39229,The Analysis of CO2 Emissions and Reduction Potential in China's Transport Sector,2016
197,WOS:000353091600012,"The carbon balance in urban areas has become a major research challenge and a principal policy concern in efforts to address anthropogenic climate change. Rapid urbanization and industrialization in China urge the search for integrated strategies to mitigate and adapt to climate change, which not only limit to traditional infrastructure sectors, but also cover urban green infrastructure, because plants and soils function as carbon sinks through biotic sequestration. This study presents a nationwide study about how urban green infrastructure could contribute to the carbon balance in 35 major Chinese cities. By the end of 2010, the total area of urban green spaces (the dominant components of urban green infrastructure) accounts for 6.38% of the total land area of these cities and represented 51.7% of the total urban green spaces of all 657 cities in China. Based on empirical data from the literature, the total amount of carbon stored in the vegetation of the urban green infrastructure of 35 cities was estimated at 18.7 million tons, with an average carbon density of 21.34 t/ha. In 2010, the amount of carbon sequestration totaled 1.90 million tons with an average carbon sequestration rate of 2.16 t/ha/year. Collectively, only 0.33% of the carbon emissions from fossil fuel combustion can be offset, ranging from 0.01% in Hohhot to 22.45% in Haikou. Nevertheless, the dominance of young vegetation stands in Chinese urban green infrastructure suggests this small carbon sequestration efficiency could become substantial in the near future, given that appropriate policies and management practices are adopted to promote urban green infrastructure for climate change mitigation and adaptation. (C) 2015 Elsevier Ltd. All rights reserved.","Chen, WY",19,Haikou; Hohhot,CHN; CHN,10.1016/j.cities.2015.01.005,SRID=4326;POINT (110.34167 20.04583); SRID=4326;POINT (111.65222 40.81056),615835; 774477,The role of urban green infrastructure in offsetting carbon emissions in 35 major Chinese cities: A nationwide estimate,2015
198,WOS:000224260300006,"Taiyuan, one of the most polluted cities in the world, is the first cleaner production demonstration city in China. We assess energy related cleaner production projects in Taiyuan from the point of view of climate change and integrated assessment. In the assessment we develop a rather detailed methodology that relies on a battery of chained models All of the projects improve energy efficiency and reduce emissions. Still, we find that their environmental health benefit differs substantially. The projects are treated similarly from point of view of funding and the regularatory process. Yet, we find that their cost differs substantially, and there is no proportionality between costs and benefits. The finding could supplement explanations of cleaner production progress that rely on financial and institutional barriers. We also ask if the positive attitude to cleaner production in China may help the country introduce greenhouse gas saving projects under another name. It turns out that some, but not all of the projects we analyse have significant greenhouse gas reduction potential. The possibility for foreign funding as CDM projects is discussed. (C) 2003 Elsevier Ltd. All rights reserved.","Mestl, HES, Aunan, K, Fang, JH, Seip, HM, Skjelvik, JM, Vennemo, H",47,Taiyuan,CHN,10.1016/j.jclepro.2003.08.005,SRID=4326;POINT (112.56028 37.86944),3426519,"Cleaner production as climate investment-integrated assessment in Taiyuan City, China",2005
199,WOS:000371605800006,"Defining carbon emission allocation standards is becoming increasingly important for China to achieve its emission reduction targets, and support global climate change mitigation and energy constraints. This paper defines and adopts the principle of equal historical cumulative emissions per capita, and uses Shanghai as a case study to build an allocation standard for carbon emissions. First, using China's emission reduction targets, we established the carbon emission space for 2020, then constructed an allocation standard for Shanghai carbon emissions for 2020. We found that Shanghai's total carbon emissions between 2000 and 2013 had exceeded China's average carbon emissions, driven by a traditional economic development model. These results point to the necessity of reducing carbon emissions from 2011 levels effectively. The carbon emission per capita has become increasingly faster since 2012. Finally, we provide policy suggestions for low-carbon development, from the perspectives of industry structure, institutional innovation, low-carbon technology, incentive mechanisms, and new energy supplies. This study's methods can be applied to other regions to build an allocation standard for carbon emissions. (C) 2015 Elsevier Ltd. All rights reserved.","Gao, GK, Chen, S, Yang, JM",6,Shanghai,CHN,10.1016/j.esr.2015.04.002,SRID=4326;POINT (121.45806 31.22222),22315474,Carbon emission allocation standards in China: A case study of Shanghai city,2015
200,WOS:000401072600021,"To reduce carbon emissions effectively in Shandong province in New Normal economy, this paper presents a new way to reflect the situation of carbon emissions accurately from both time-perspective and spatial perspective. The characteristics of carbon emissions in Shandong province are presented during 2005-2014, and this paper explores the spatial autocorrelation of carbon emissions branches in 17 cities. The results show that the total amount of carbon emissions in Shandong province presented a steady growth, whereas the growth rate was low, and the proportion of coal consumption in energy structure was significantly higher than the national average. In addition, the spatial pattern of the carbon emissions in 17 cities presented obvious regionally distinction. Furthermore, the affecting factors governing carbon emissions are decomposed based on the Kaya identity. The results reveal that economic scale was the key factor to increase the carbon emissions, whereas energy efficiency was the main factor of carbon emissions reduction. Therefore, this paper draws government should promote carbon emissions reduction given priority to some regions virtually, while encouraging emission reduction in others.",,2,Kaya,BFA,10.1007/s11069-017-2805-7,SRID=4326;POINT (-1.08444 13.09167),39229,Study on the spatial and temporal differentiation and influencing factors of carbon emissions in Shandong province,2017
201,WOS:000399346300004,"The paper addresses the growing scepticism around big data use in the context of smart cities. Big data is said to transform city governments into being more efficient, effective and evidence-based. However, critics point towards the limited capacity of government to overcome the siloed structure of data storage and manage the diverse stakeholders involved in setting up a data ecosystem. On the basis of this, the paper investigates the challenges city governments face when dealing with big data in the context of carbon emission reduction. Through the lens of the evidence-based policy and policy capacity literature, the cities of Copenhagen (Denmark), London (UK), Malmo (Sweden), Oxford (UK) and Vienna (Austria) are analysed. The cases reveal that the institutional complexity underlying big data integration limits local government capacity to set up data management structures that would allow further utilization of big data and that current solutions focus on local pilot sites and outsourcing of data analytics.",,1,Copenhagen; Oxford; London; Vienna,DNK; GBR; GBR; AUT,10.1080/09654313.2017.1294149,SRID=4326;POINT (12.56553 55.67594); SRID=4326;POINT (-1.25596 51.75222); SRID=4326;POINT (-0.12574 51.50853); SRID=4326;POINT (16.37208 48.20849),1153615; 154566; 7556900; 1691468,Big data analytics for mitigating carbon emissions in smart cities: opportunities and challenges,2017
202,WOS:000172893300003,"Rust scales of commercially available low carbon steels from Venezuela (AISI 1010), Mexico and Cuba (AISI 1019) were characterised after exposure at two typical atmospheres in the Caribbean region: Merida (rural-urban; RU) and Progreso (marine-coastal; MC). Low carbon steel surfaces rusting in those atmospheres formed mainly the oxyhydroxides lepidocrocite (gamma -FeOOH), goethite (alpha -FeOOH) and akaganeite (beta -FeOOH). Different amounts of lepidocrocite, goethite and akaganeite and the oxide phases hematite (alpha -Fe2O3), magnetite (Fe3O4) and maghemite (gamma -Fe2O4) were found, depending on the deposition rates value of air-borne salinity, time-of-wetness (TOW) and temperature present in every particular test site. The rust scale composition and air pollution are used to explain the corrosion rates and corrosion behaviour of the exposed low carbon steels in the tests sites.",,0,El Progreso,HND,,SRID=4326;POINT (-87.8 15.4),100810,"Electrochemical, gravimetric and x-ray characterization of low carbon steel corrosion rate and products after atmospheric exposure in the caribbean area",2001
203,WOS:000393346800028,"Estimating cooling and heating energy requirements is an integral part of designing and managing buildings. Further, as buildings are among the largest energy consumers in cities, the estimates are important for formulating effective energy conservation strategies. Where complex hourly simulation models are not favored, such estimates may be derived by simplified methods that are less computationally intensive but still provide results that are reasonably close to those obtained from the more complicated approach. The equivalent full load hours (EFLH) method is a simplified energy estimation method that has recently gained popularity. It offers a straightforward means of evaluating energy efficiency programs. However, to date, easily accessible EFLH data exist only for a very limited number of countries in North America and Europe, but not Asia. This current work provides previously unavailable monthly EFLH data for building cooling and heating in three large Asian cities, viz. Hong Kong, Seoul and Tokyo. To assess the effects of changing temperature over the course of decades on building cooling and heating energy consumption, EFLH data are calculated for three time periods: past (1983-2005), present (2006-2014) and future (2015-2044). The projections for the future time period are based on the climate scenarios Representative Concentration Pathways (RCPs) 4.5 and 8.5 of the Intergovernmental Panel on Climate Change (IPCC) Fifth Assessment Report. RCP-4.5 assumes a stabilization of future greenhouse gas (GHG) emissions followed by a reduction, while RCP-8.5 assumes their further increase. From the EFLH data, considering just the effects of ambient temperature changes, it is projected the total energy required to heat and/or cool residential dwellings in Hong Kong, Seoul and Tokyo to increase by 18.3%, 4% and 10.4%, respectively over 62 years from 1983 to 2044 in the case of RCP-4.5, and by 23.3%, 9.3% and 15.8%, respectively in the case of RCP-8.5. This shows that even with future stabilization and reduction of GHG emissions, as per scenario RCP-4.5, the energy needs of the three cities for building heating and cooling combined can be expected to increase over the next few decades. This has significant implications, namely increased demands for additional primary energy, which will result in further GHG emissions. These effects, however, can be controlled with adjustments to the electricity fuel mix of each location, and also by use of more efficient heating, ventilation and air-conditioning (HVAC) devices. (C) 2016 Elsevier Ltd. All rights reserved.",,4,Seoul; Tokyo,KOR; JPN,10.1016/j.apenergy.2016.12.039,SRID=4326;POINT (126.9784 37.566); SRID=4326;POINT (139.69171 35.6895),10349312; 8336599,Equivalent full-load hours for assessing climate change impact on building cooling and heating energy consumption in large Asian cities,2017
204,WOS:000338747900034,"This paper concentrates on the evaluation of the efficiency of low carbon industrialization in the tourism sector. Combining the general indices of the regional industrialization with the specific characteristics of low carbon development in the tourism sector, a comprehensive index system is scientifically designed. Due to the complexity of the index system and the tight correlation among some indices, rough set theory (RST) is applied to reduce the dimensions of the index system and delete some overlapped information. Then, the data envelopment analysis (DEA) is used to evaluate the efficiency of low carbon industrialization in every year, in order to investigate the development of regional economy, where the year is considered as the Decision-Making Unit (DMU). Furthermore, the super efficiency value of each DMU is calculated to compare the level of low carbon industrialization in each year. Finally, Leshan city, which is a typical representative of a World Cultural and Natural region in China, is considered as a practical application to show the effectiveness of the proposed model. Then, some valuable suggestions are given to help decision makers improve regional development.",,2,Leshan,CHN,10.3390/su6063825,SRID=4326;POINT (103.76386 29.56227),154477,Evaluation of the Efficiency of Low Carbon Industrialization in Cultural and Natural Heritage: Taking Leshan as an Example,2014
205,WOS:000360655500044,"We address the problem of setting realistic regional carbon reduction targets in China. Scenario analysis, combined with a regional carbon emission model, was used to evaluate whether the current government goals are realistic. We first set reasonable scenarios for factors in the model that have important effects on carbon emissions, and then forecast the carbon emissions for a given region. Reasonable regional carbon reduction goals were obtained based on these forecasts. In Beijing, eleven kinds of development scenarios were considered, and their effects on carbon reduction goals were analyzed. Results showed that future CO2 emissions in Beijing will rise markedly, whereas carbon intensity will reduce gradually, causing the rate of carbon reduction to slow over the long term. We found that an 18% reduction in carbon intensity for Beijing during the 12th Five-Year Plan is a reasonable goal, whereas a 45%-50% reduction from 2005 to 2020 is also realistic. Moreover, the carbon intensity in Beijing could be reduced by 12%-16% during the 13th Five-Year Plan and by a further 12% during the 14th Five-Year Plan. Rapid economic growth, stable urban development, and a rising proportion of tertiary industries in Beijing all contribute to achieving its carbon reduction target. (C) 2015 AIP Publishing LLC.","Wang, ZH, Liu, TF",0,Beijing,CHN,10.1063/1.4927002,SRID=4326;POINT (116.39723 39.9075),11716620,Scenario analysis of regional carbon reduction targets in China: A case study of Beijing,2015
206,WOS:000372758800043,"In this research, an interval-parameter two-stage stochastic programming approach was developed for supporting the identification of low-carbon strategies and the post-earthquake reconstruction in the city of Gugangyuan, Sichuan province of China. The approach can effectively deal with uncertainties that can be expressed as both probability density functions and interval numbers without any distribution information. Also, the approach can provide useful decision alternatives for supporting long-term corrections for any plans associated with carbon dioxide emission limits within a city context. The developed approach was applied in the city of Guangyuan. Three scenarios were established including the baseline (i.e., regional planning) as scenario 1, zero carbon emission as scenario 2, and carbon sink as scenario 3. Also, based on practical information and the collected data, three projection values (i.e., low, medium and high levels) for the carbon emission of the entire city were generated and analyzed under varying probability levels (i.e., 20, 60, and 20%). The results indicated that in order to achieve low-carbon post-earthquake development in the city, the priority areas and industries for carbon emission reduction would be Chaotian (the secondary industry) > Wangcang (the secondary industry) > Lizhou (the secondary industry) = Qingchuan (the tertiary industry) > Cangxi (the secondary industry) = Chaotian (the tertiary industry). (C) 2015 Elsevier Ltd. All rights reserved.","Hao, Y, Cai, YP, Zhang, LX, Su, MR, Yang, ZF",2,Guangyuan,CHN,10.1016/j.habitatint.2015.12.009,SRID=4326;POINT (105.823 32.44201),213365,Identification of low-carbon strategies for post-earthquake development in the city of Guangyuan based on an inexact two stage stochastic programming approach,2016
207,WOS:000337646000068,"A high spatial resolution carbon dioxide (CO2) emission map of China is proving to be essential for China's carbon cycle research and carbon reduction strategies given the current low quality of CO2 emission data and the inconsistencies in data quality between different regions. Ten km resolution CO2 emission gridded data has been built up for China based on point emission sources and other supporting data. The predominance of emissions from industrial point sources (84% of total emissions) in China supports the use of bottom-up methodology. The resultant emission map is informative and proved to be more spatially accurate than the EDGAR data. Spatial distribution of CO2 emissions in China is highly unbalanced and has positive spatial autocorrelation. The spatial pattern is mainly influenced by key cities and key regions, i.e., the Jing-Jin-Ji region, the Yangtze River delta region, and the Pearl River delta region. The emission map indicated that the supervision of 1% of total land could enable the management of about 70% of emissions in China.","Wang, JN, Cai, BF, Zhang, LX, Cao, D, Liu, LC, Zhou, Y, Zhang, ZS, Xue, WB",12,Pearl River,USA,10.1021/es405369r,SRID=4326;POINT (-74.02181 41.05899),15876,High Resolution Carbon Dioxide Emission Gridded Data for China Derived from Point Sources,2014
208,WOS:000368206800021,"Rising pressure of population growth and economic development, limited energy supplies, and improved concerns over environmental effects have forced decision makers to contemplate comprehensive optimization of urban energy systems planning. A multi-objective optimization model at urban sector scale is proposed in this study to achieve sustainable development of energy, economic, and environmental systems, by integrating objectives of minimal energy consumption, energy cost, and environmental impact. To comprehensively measure the environmental objective, the life cycle assessment method is used to calculate the environmental impact caused by various pollutants in the chain of energy production, transportation, and consumption. Based on the 1995-2010 data, the optimization model is applied to Beijing, China to obtain a reasonable solution of energy mix in 2015 and 2020, where the four energy resources (i.e., coal, oil, natural gas, and electricity which account for over 96% of the total energy consumption) are distributed to the six key sectors (agriculture, industry, construction, transportation, commerce, and household). The results estimate a decline in the proportion of coal to the total energy consumption and an increase for others. The decrease in energy consumption is only observed in the industry sector. It also found that the effect of energy savings and emissions reduction when considering the environmental impact is better than that neglecting the environmental impact. It concludes that the multi-objective optimization model integrating environmental impact is useful for reasonable allocation of energy resources across the urban sectors, which could help balance economic, energy and environmental goals and provide more detailed and practical support for urban energy system management. (C) 2015 Elsevier Ltd. All rights reserved.","Su, MR, Su, MR, Chen, C, Yang, ZF",9,Beijing,CHN,10.1016/j.jclepro.2015.01.059,SRID=4326;POINT (116.39723 39.9075),11716620,Urban energy structure optimization at the sector scale: considering environmental impact based on life cycle assessment,2016
209,WOS:000403673300001,"Phase change material applied in lightweight buildings makes it possible to improve thermal comfort and reduce energy consumption, and compensate the disadvantage of low thermal inertia. The field tests for the composite envelope lightweight building integrated with composite phase change material layer were carried out. The performance is compared with the buildings with ordinary structure under summer, winter, and transition climate. According to the climatic conditions of Chengdu city, the phase change material has the effect of heat attenuation and temperature delay by improving the indoor stability of the lightweight building. The lightweight building integrated with phase change material layer could significantly reduce the surface temperature of inside wall and the indoor air temperature during the hot season and transition season. A simulation model for heating and cooling load of the lightweight building was set up to assess the energy saving for phase change material application. The annual load of model building with phase change material composite exterior wall is 23.85% less than that of ordinary model building.",,1,Chengdu,CHN,10.1177/1687814017702082,SRID=4326;POINT (104.06667 30.66667),7415590,Thermal performance improvement of lightweight buildings integrated with phase change material: An experimental and simulation study,2017
